Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-10 00:00:00-04:00,34.541539848583284,34.6126360658966,34.43763159729292,34.503257751464844,722300,0.0,0.0
2016-08-11 00:00:00-04:00,34.618112590052796,34.66186476111507,34.50326627034185,34.552486419677734,733200,0.0,0.0
2016-08-12 00:00:00-04:00,34.541535331899155,34.60716147748975,34.49778526357795,34.590755462646484,882400,0.0,0.0
2016-08-15 00:00:00-04:00,34.62358501751844,34.62905299616523,34.404828319714156,34.42670440673828,922500,0.0,0.0
2016-08-16 00:00:00-04:00,34.39935724530839,34.404825223463085,34.01653410171218,34.03841018676758,828700,0.0,0.0
2016-08-17 00:00:00-04:00,34.104032631973915,34.10950060953158,33.7212095301773,34.005592346191406,777100,0.0,0.0
2016-08-18 00:00:00-04:00,33.94542228855792,33.97276633921799,33.61728950820237,33.73213577270508,779100,0.0,0.0
2016-08-19 00:00:00-04:00,33.759496401400085,33.77590242260905,33.529803759601144,33.721214294433594,794000,0.0,0.0
2016-08-22 00:00:00-04:00,33.72667999676819,34.032938918051045,33.671991872283286,34.01653289794922,798600,0.0,0.0
2016-08-23 00:00:00-04:00,34.09309562557771,34.15325381162853,33.819650842596246,33.8907470703125,831500,0.0,0.0
2016-08-24 00:00:00-04:00,33.90715538859843,33.989189663542035,33.699336755301395,33.896217346191406,631300,0.0,0.0
2016-08-25 00:00:00-04:00,33.9126234681823,33.9618436160521,33.797777151892184,33.8634033203125,484800,0.0,0.0
2016-08-26 00:00:00-04:00,33.907155640455926,33.950907810409035,33.57902271068076,33.699337005615234,677500,0.0,0.0
2016-08-29 00:00:00-04:00,33.74308779360455,34.08762881611044,33.69933562544333,34.04387664794922,1259500,0.0,0.0
2016-08-30 00:00:00-04:00,34.032931992539645,34.164186385299395,33.85792752633851,33.92902374267578,737600,0.0,0.0
2016-08-31 00:00:00-04:00,33.92901674400547,33.950892819322604,33.42040946707776,33.507911682128906,1405500,0.0,0.0
2016-09-01 00:00:00-04:00,33.49698195881321,33.67745649564936,33.44776182024134,33.55167007446289,1006000,0.0,0.0
2016-09-02 00:00:00-04:00,33.671994614502985,33.83606108753737,33.5954303995015,33.83059310913086,1026900,0.0,0.0
2016-09-06 00:00:00-04:00,34.01652940573258,34.01652940573258,33.65011233340263,33.786834716796875,1030700,0.0,0.0
2016-09-07 00:00:00-04:00,33.79230298018365,33.88527319455426,33.57901640724601,33.688392639160156,868600,0.0,0.0
2016-09-08 00:00:00-04:00,33.75402017084768,33.786832205243684,33.56807765980487,33.77589416503906,906200,0.0,0.0
2016-09-09 00:00:00-04:00,33.66652283562604,33.71027291659453,33.294637759412154,33.327449798583984,1920700,0.0,0.0
2016-09-12 00:00:00-04:00,33.23993368526193,33.63369468082207,33.1414934363719,33.51884841918945,1696200,0.0,0.0
2016-09-13 00:00:00-04:00,33.27717535685897,33.288236662500864,32.91216070958965,33.138912200927734,2067800,0.683,0.0
2016-09-14 00:00:00-04:00,33.04489767913772,33.531584628985414,32.9895932549469,33.25505828857422,1033000,0.0,0.0
2016-09-15 00:00:00-04:00,33.18868066931847,33.49839083882978,33.18868066931847,33.44861602783203,897500,0.0,0.0
2016-09-16 00:00:00-04:00,33.44861792944368,33.476270134963855,32.97852410641659,33.188682556152344,2758500,0.0,0.0
2016-09-19 00:00:00-04:00,33.26058643848552,33.31036126198081,33.11679367601494,33.210811614990234,1003100,0.0,0.0
2016-09-20 00:00:00-04:00,33.29377049836298,33.514990296156576,33.127855122585665,33.35460662841797,998000,0.0,0.0
2016-09-21 00:00:00-04:00,33.44862550133781,33.59794997662356,33.28271012092982,33.48733901977539,879500,0.0,0.0
2016-09-22 00:00:00-04:00,33.61454823301946,33.84683150417224,33.51499856105812,33.752811431884766,1130200,0.0,0.0
2016-09-23 00:00:00-04:00,33.6864321091637,33.774920436381336,33.5094554547284,33.531578063964844,956500,0.0,0.0
2016-09-26 00:00:00-04:00,33.459690484671476,33.636667191183996,33.26612287121364,33.56476974487305,706400,0.0,0.0
2016-09-27 00:00:00-04:00,33.59793903421179,33.65877514615118,33.465205507277865,33.51498031616211,751700,0.0,0.0
2016-09-28 00:00:00-04:00,33.581356566027225,33.69196540489445,33.44862300576684,33.49839782714844,902800,0.0,0.0
2016-09-29 00:00:00-04:00,33.49840033650168,33.76386536717996,33.48733902984068,33.708560943603516,734300,0.0,0.0
2016-09-30 00:00:00-04:00,33.780457178436166,33.83022989204444,33.49839914295187,33.50946044921875,1389300,0.0,0.0
2016-10-03 00:00:00-04:00,33.45968799167184,33.49287191281877,33.194222951682214,33.46521759033203,830200,0.0,0.0
2016-10-04 00:00:00-04:00,33.365671492787364,33.62560483565661,33.12785865524642,33.28824234008789,1152100,0.0,0.0
2016-10-05 00:00:00-04:00,33.31036641462274,33.470752216220134,33.04490135149368,33.11126708984375,1137900,0.0,0.0
2016-10-06 00:00:00-04:00,33.11125841582895,33.238460260064386,33.02830179205535,33.16656494140625,1031500,0.0,0.0
2016-10-07 00:00:00-04:00,33.05041469591865,33.18314821706712,32.71858405763907,32.8679084777832,1336600,0.0,0.0
2016-10-11 00:00:00-04:00,32.87344547422053,33.14997177161053,32.87344547422053,33.022769927978516,839000,0.0,0.0
2016-10-12 00:00:00-04:00,33.033845623580355,33.470757870123464,33.0117230038171,33.37120819091797,1074800,0.0,0.0
