Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-01 00:00:00-04:00,23.897660659270755,25.22975885739047,23.803817846872658,24.28447151184082,2520514000,0.1425,0.0
2016-09-01 00:00:00-04:00,24.293624716806974,26.59160866066224,23.467357517262613,25.875205993652344,3872062400,0.0,0.0
2016-10-01 00:00:00-04:00,25.79739248890456,27.16611305439905,25.698972768089423,25.98736572265625,2747657200,0.0,0.0
2016-11-01 00:00:00-04:00,26.102381233295862,26.17369865371802,23.944437762013997,25.426010131835938,2886220000,0.1425,0.0
2016-12-01 00:00:00-05:00,25.3915035167092,27.151445911305203,24.90377989746758,26.64531898498535,2435086800,0.0,0.0
2017-01-01 00:00:00-05:00,26.640715034095525,28.168299895100475,26.401454522043736,27.91753578186035,2252488000,0.0,0.0
2017-02-01 00:00:00-05:00,29.350965682297264,31.765493783969227,29.346345350170655,31.652278900146484,2299874400,0.1425,0.0
2017-03-01 00:00:00-05:00,31.860240717297188,33.38751761569053,31.666154955854704,33.19343185424805,2246513600,0.0,0.0
2017-04-01 00:00:00-04:00,33.20497117364324,33.60931810036472,32.36161689682033,33.191104888916016,1493216400,0.0,0.0
2017-05-01 00:00:00-04:00,33.66452790414552,36.34423066081905,33.47195989155634,35.441715240478516,2615927200,0.1575,0.0
2017-06-01 00:00:00-04:00,35.5368540270799,36.18879940966098,32.991712441147214,33.413970947265625,2736712400,0.0,0.0
2017-07-01 00:00:00-04:00,33.613484635605445,35.72708799856844,33.04042178853288,34.506717681884766,1688047600,0.0,0.0
2017-08-01 00:00:00-04:00,34.72841088174666,38.320040729401555,34.567695339737035,38.19892120361328,2644276000,0.1575,0.0
2017-09-01 00:00:00-04:00,38.385248831486,38.41785751660977,34.74237712530407,35.89765930175781,2721496400,0.0,0.0
2017-10-01 00:00:00-04:00,35.93026565005638,39.51490707437439,35.51101216975523,39.372825622558594,2017165200,0.0,0.0
2017-11-01 00:00:00-04:00,39.70839163980035,41.197429574865765,38.63544540179949,40.171234130859375,2402653600,0.1575,0.0
2017-12-01 00:00:00-05:00,39.72709784805729,41.42184021093084,38.91128622099381,39.55879211425781,2124735200,0.0,0.0
2018-01-01 00:00:00-05:00,39.77619178530915,42.099742766425265,38.499873793267305,39.138031005859375,2638717600,0.0,0.0
2018-02-01 00:00:00-05:00,39.23657522528399,42.39343245337469,35.262926015122076,41.80665588378906,3711577200,0.1575,0.0
2018-03-01 00:00:00-05:00,41.90522627424838,43.069392351779754,38.71316446677077,39.37974166870117,2854910800,0.0,0.0
2018-04-01 00:00:00-04:00,39.11218232808251,41.999124021303665,37.70157261971052,38.78828048706055,2664617200,0.0,0.0
2018-05-01 00:00:00-04:00,39.20880786141461,44.854157784192125,38.94020611844721,44.029502868652344,2483905200,0.1825,0.0
2018-06-01 00:00:00-04:00,44.29338900633006,45.75656023463115,42.58281702195786,43.61481475830078,2110498000,0.0,0.0
2018-07-01 00:00:00-04:00,43.31087418302016,46.171248272874365,43.216625757898804,44.835304260253906,1574765600,0.0,0.0
2018-08-01 00:00:00-04:00,47.08270598076529,54.11449015060924,46.65237972340664,53.82130432128906,2801275600,0.1825,0.0
2018-09-01 00:00:00-04:00,54.00572761384914,54.30364328759428,50.90597230266136,53.374427795410156,2715888000,0.0,0.0
2018-10-01 00:00:00-04:00,53.89694884965851,55.20210959502266,48.72832700046788,51.7476921081543,3158994000,0.0,0.0
2018-11-01 00:00:00-04:00,51.97333490531509,52.75868806327839,40.397076430946356,42.37113952636719,3845305600,0.1825,0.0
2018-12-01 00:00:00-05:00,43.76628195421054,43.88016912532443,34.780976243499715,37.42650604248047,3595690000,0.0,0.0
2019-01-01 00:00:00-05:00,36.75027370203774,40.098110143445815,33.691903197451516,39.49070739746094,3312349600,0.0,0.0
2019-02-01 00:00:00-05:00,39.78399372216892,41.907106494377814,39.53855726806537,41.25897216796875,1890162400,0.1825,0.0
2019-03-01 00:00:00-05:00,41.528241826709404,47.106485457955735,40.389241673918505,45.26216125488281,2603925600,0.0,0.0
2019-04-01 00:00:00-04:00,45.664860633223945,49.67757242764548,44.88805414557073,47.81657028198242,2024470800,0.0,0.0
2019-05-01 00:00:00-04:00,50.20376528717442,51.50263164635051,41.8579996140433,41.87713623046875,2957826400,0.1925,0.0
2019-06-01 00:00:00-04:00,42.003911463031336,48.215993433724336,40.72896318724689,47.34290313720703,2060874800,0.0,0.0
2019-07-01 00:00:00-04:00,48.59871206779759,52.95219151502836,47.460110873886784,50.95963668823242,1895406800,0.0,0.0
2019-08-01 00:00:00-04:00,51.35975506381667,52.35141492939044,46.24058909052124,50.120784759521484,2724326400,0.1925,0.0
2019-09-01 00:00:00-04:00,49.566125488412446,54.36594700632731,49.035482085431916,53.77767562866211,2170268400,0.0,0.0
2019-10-01 00:00:00-04:00,54.04179828479164,59.967737514594944,51.65509375105517,59.73002624511719,2433210800,0.0,0.0
2019-11-01 00:00:00-04:00,60.0971928573095,64.54295150714015,60.00567923090443,64.3623275756836,1793326000,0.1925,0.0
2019-12-01 00:00:00-05:00,64.36715786309499,70.79737439065518,61.722827540884445,70.72030639648438,2388794800,0.0,0.0
2020-01-01 00:00:00-05:00,71.34404964208662,78.95675088330286,70.50354854588197,74.5398941040039,2934370400,0.0,0.0
2020-02-01 00:00:00-05:00,73.45908396788559,78.99205556983814,61.88861568726967,65.99005889892578,3019279200,0.1925,0.0
2020-03-01 00:00:00-05:00,68.14338736479823,73.38667227037695,51.324804066435895,61.38650131225586,6280072400,0.0,0.0
2020-04-01 00:00:00-04:00,59.50595126556547,71.10055883816591,57.188476639419704,70.92433166503906,3265299200,0.0,0.0
2020-05-01 00:00:00-04:00,69.28880864728058,78.48455070443924,69.19198733530298,76.9595947265625,2805936000,0.205,0.0
2020-06-01 00:00:00-04:00,76.91361210454512,90.13718725742018,76.78289925558443,88.3023910522461,3243375600,0.0,0.0
2020-07-01 00:00:00-04:00,88.37984563713128,103.03397765297315,86.31267690621111,102.88390350341797,3020283200,0.0,0.0
2020-08-01 00:00:00-04:00,104.95113683150987,127.06653708598974,104.65287469630478,125.1653823852539,4070061100,0.205,4.0
2020-09-01 00:00:00-04:00,128.77368261352478,133.83694570670323,100.00427109295893,112.33263397216797,3885245100,0.0,0.0
2020-10-01 00:00:00-04:00,114.10769064779588,121.62498584593095,104.48555457025763,105.59132385253906,2894666500,0.0,0.0
2020-11-01 00:00:00-04:00,106.01639547063048,118.53120506498993,104.27714660350755,115.67456817626953,2123077300,0.205,0.0
2020-12-01 00:00:00-05:00,117.5790179878569,134.8548948768169,116.60737088503734,128.9278564453125,2322189600,0.0,0.0
2021-01-01 00:00:00-05:00,129.73434954456667,140.9763009137512,122.79678111497792,128.2185821533203,2240262000,0.0,0.0
2021-02-01 00:00:00-05:00,130.15202383119293,134.1709284587126,115.20521885559957,117.99801635742188,1833855600,0.205,0.0
2021-03-01 00:00:00-05:00,120.42101656137602,125.25732039417078,113.08384827756585,118.86405944824219,2650418200,0.0,0.0
2021-04-01 00:00:00-04:00,120.33339547522914,133.38265332909512,119.1948642907676,127.92356872558594,1889857500,0.0,0.0
2021-05-01 00:00:00-04:00,128.70624434020996,130.68500453473493,119.16342904148821,121.4638442993164,1711934900,0.22,0.0
2021-06-01 00:00:00-04:00,121.92198579273175,133.94068011687085,120.0212148706821,133.50204467773438,1606590000,0.0,0.0
2021-07-01 00:00:00-04:00,133.1510959548221,146.21276354913198,132.33229317506306,142.1772918701172,1919035100,0.0,0.0
2021-08-01 00:00:00-04:00,142.87844001257173,149.8388388284366,141.0626844473817,148.21832275390625,1461542800,0.22,0.0
2021-09-01 00:00:00-04:00,149.19455273050235,153.5191667980544,137.90953902470758,138.13406372070312,1797835100,0.0,0.0
2021-10-01 00:00:00-04:00,138.5245312740847,149.526449008052,134.98089045078447,146.2366180419922,1565079200,0.0,0.0
2021-11-01 00:00:00-04:00,145.65812326380197,161.99442707857375,144.18188203645974,161.60337829589844,1691029000,0.22,0.0
2021-12-01 00:00:00-05:00,163.73464532896287,178.05703674463408,154.27112605508827,173.59901428222656,2444766700,0.0,0.0
2022-01-01 00:00:00-05:00,173.85319485106817,178.848920671532,151.2404455714608,170.87139892578125,2108446000,0.0,0.0
2022-02-01 00:00:00-05:00,170.33536879493295,172.91961845788262,148.79016650858344,161.6331024169922,1627516300,0.22,0.0
2022-03-01 00:00:00-05:00,161.22193960744744,175.8170808005273,146.93026452637565,170.92266845703125,2180800100,0.0,0.0
2022-04-01 00:00:00-04:00,170.3549494310579,174.72077270022066,152.09879365670588,154.3208465576172,1687795600,0.0,0.0
2022-05-01 00:00:00-04:00,153.62610092727846,163.20382573085948,130.00036031476722,145.9109649658203,2401040300,0.23,0.0
2022-06-01 00:00:00-04:00,146.95010277676118,148.75390467303902,126.50060739031504,134.02947998046875,1749099800,0.0,0.0
2022-07-01 00:00:00-04:00,133.3628541873168,160.40992030893383,132.99034240164843,159.31195068359375,1447125400,0.0,0.0
2022-08-01 00:00:00-04:00,158.06068836117552,172.92336028812855,154.261582013457,154.34011840820312,1510239600,0.23,0.0
2022-09-01 00:00:00-04:00,153.77078029421838,161.2511978093725,135.47221503631138,135.66854858398438,2084722800,0.0,0.0
2022-10-01 00:00:00-04:00,135.67834312212338,154.61499170588172,131.90867098770357,150.53118896484375,1868139700,0.0,0.0
