Date,Adj Close,Close,High,Low,Open,Volume
2016-07-22,3.594564199447632,15.740044593811035,15.777610778808594,15.495867729187012,15.721261978149414,67562
2016-07-25,3.5816965103149414,15.683695793151855,15.777610778808594,15.608565330505371,15.702479362487793,25608
2016-07-26,3.616013765335083,15.833958625793457,15.871524810791016,15.683695793151855,15.721261978149414,65113
2016-07-27,3.5576627254486084,15.34560489654541,15.683695793151855,15.308038711547852,15.683695793151855,54305
2016-07-28,3.5663716793060303,15.383171081542969,15.420736312866211,15.21412467956543,15.34560489654541,28750
2016-07-29,3.527182102203369,15.21412467956543,15.439518928527832,15.21412467956543,15.401952743530273,24277
2016-08-02,3.5054092407226562,15.120209693908691,15.326822280883789,14.894816398620605,15.326822280883789,75015
2016-08-03,3.487989902496338,15.045079231262207,15.15777587890625,14.876032829284668,15.15777587890625,51536
2016-08-04,3.4618613719940186,14.932381629943848,15.007513046264648,14.876032829284668,15.007513046264648,52175
2016-08-05,3.487989902496338,15.045079231262207,15.120209693908691,14.932381629943848,15.007513046264648,45148
2016-08-08,3.4662177562713623,14.951165199279785,15.176559448242188,14.951165199279785,15.063861846923828,53293
2016-08-09,3.51411771774292,15.15777587890625,15.15777587890625,15.007513046264648,15.007513046264648,21136
2016-08-10,3.496699333190918,15.082645416259766,15.15777587890625,15.045079231262207,15.15777587890625,22680
2016-08-11,3.501051902770996,15.10142707824707,15.176559448242188,15.063861846923828,15.120209693908691,12724
2016-08-12,3.51411771774292,15.15777587890625,15.176559448242188,14.932381629943848,15.120209693908691,31305
2016-08-15,3.501051902770996,15.10142707824707,15.176559448242188,15.045079231262207,15.176559448242188,7986
2016-08-16,3.5054092407226562,15.120209693908691,15.176559448242188,15.10142707824707,15.15777587890625,15759
2016-08-17,3.527182102203369,15.21412467956543,15.21412467956543,15.120209693908691,15.15777587890625,9264
2016-08-18,3.562016010284424,15.364388465881348,15.383171081542969,15.21412467956543,15.308038711547852,25502
2016-08-19,3.592498779296875,15.495867729187012,15.552215576171875,15.308038711547852,15.34560489654541,20764
2016-08-22,3.64039945602417,15.702479362487793,15.702479362487793,15.458301544189453,15.570999145507812,28643
2016-08-23,3.657816171646118,15.777610778808594,15.777610778808594,15.683695793151855,15.702479362487793,34180
2016-08-24,3.6491081714630127,15.740044593811035,15.833958625793457,15.683695793151855,15.777610778808594,54145
2016-08-25,3.657816171646118,15.777610778808594,15.777610778808594,15.627347946166992,15.683695793151855,25289
2016-08-26,3.6273345947265625,15.646130561828613,15.758828163146973,15.420736312866211,15.740044593811035,57606
2016-08-29,3.669781446456909,15.589781761169434,15.702479362487793,15.326822280883789,15.326822280883789,63356
2016-08-30,3.6034579277038574,15.308038711547852,15.627347946166992,15.308038711547852,15.570999145507812,41634
2016-08-31,3.634409189224243,15.439518928527832,15.439518928527832,15.326822280883789,15.326822280883789,9530
2016-09-01,3.6078808307647705,15.326822280883789,15.458301544189453,15.326822280883789,15.34560489654541,7134
2016-09-02,3.634409189224243,15.439518928527832,15.47708511352539,15.383171081542969,15.383171081542969,9903
2016-09-06,3.6874661445617676,15.66491413116455,15.758828163146973,15.495867729187012,15.495867729187012,54411
